team,market_value_million_eur,avg_player_value_million_eur
France,1520.00,58.58
England,1360.00,52.43
Spain,1220.00,47.03
Portugal,1010.00,38.67
Germany,947.00,36.42
Brazil,928.20,35.70
Argentina,782.50,31.30
Netherlands,754.20,29.01
Norway,589.90,22.69
Belgium,547.50,21.06
Ivory Coast,522.10,20.08
Senegal,478.10,18.39
Turkiye,473.70,18.22
Morocco,447.70,17.22
Sweden,406.08,15.62
Croatia,387.30,14.90
United States,385.65,14.83
Ecuador,368.70,14.18
Uruguay,359.30,13.82
Switzerland,332.50,12.79
Colombia,302.35,11.63
Japan,270.85,10.42
Algeria,256.90,9.88
Austria,245.20,9.43
Ghana,234.60,8.69
Canada,198.65,7.64
Mexico,191.85,7.38
Czechia,188.18,7.24
Scotland,170.25,6.55
Paraguay,153.65,5.91
Bosnia-Herzegovina,151.60,5.83
Democratic Republic of the Congo,143.90,5.53
South Korea,139.05,5.35
Egypt,116.48,4.48
Uzbekistan,85.33,3.28
Australia,77.45,2.98
Tunisia,69.95,2.69
Haiti,55.90,2.15
Cape Verde,54.50,2.10
South Africa,49.25,1.89
Saudi Arabia,40.68,1.56
Panama,34.55,1.33
New Zealand,34.35,1.32
Iran,32.05,1.23
Curaçao,25.78,0.991
Iraq,21.20,0.815
Jordan,20.30,0.781
Qatar,19.93,0.766
